,phen,male_count,female_count,combined_count
549,854,1,1,2
550,8540,4,1,5
551,855,0,2,2
552,856,1,3,4
553,857,3,1,4
554,858,2,2,4
555,859,3,2,5
556,86,1,0,1
557,860,5,2,7
558,8600,1,0,1
559,861,3,5,8
560,862,2,4,6
561,863,1,5,6
562,864,4,4,8
563,865,4,5,9
564,866,2,3,5
565,8660,1,0,1
566,867,3,5,8
567,868,6,11,17
568,869,5,5,10
569,870,10,6,16
570,871,6,5,11
571,872,5,9,14
572,8720,1,0,1
573,873,7,7,14
574,8730,1,0,1
575,8734,1,0,1
576,874,12,9,21
577,8743,0,1,1
578,8744,1,0,1
579,875,11,4,15
580,876,3,7,10
581,877,8,9,17
582,878,10,8,18
583,8780,1,0,1
584,879,8,8,16
585,88,2,0,2
586,880,12,13,25
587,881,6,6,12
588,8810,1,0,1
589,882,2,6,8
590,883,7,8,15
591,8832,3,1,4
592,884,12,8,20
593,885,13,7,20
594,8851,1,0,1
595,886,10,6,16
596,887,8,4,12
597,888,6,4,10
598,889,11,10,21
599,890,4,12,16
600,891,8,5,13
601,892,10,5,15
602,893,5,5,10
603,894,3,7,10
604,895,7,11,18
605,896,3,6,9
606,897,4,5,9
607,898,5,3,8
608,899,3,3,6
609,9,395,455,850
610,90,1,0,1
611,900,4,7,11
612,901,3,2,5
613,902,1,1,2
614,903,5,4,9
615,904,3,4,7
616,905,1,4,5
617,9050,0,1,1
618,9057,3,0,3
619,906,0,4,4
620,9062,1,0,1
621,907,1,1,2
622,908,2,2,4
623,909,1,3,4
624,9093,1,0,1
625,91,0,1,1
626,910,3,2,5
627,911,1,2,3
628,913,0,1,1
629,915,1,0,1
630,916,0,1,1
631,917,2,0,2
632,919,1,0,1
633,92,0,2,2
634,920,0,1,1
635,921,2,0,2
636,923,1,0,1
637,926,0,1,1
638,93,1,0,1
639,9331,1,0,1
640,9351,1,0,1
641,94,0,2,2
642,9440,1,0,1
643,95,0,2,2
644,96,1,0,1
645,9654,0,1,1
646,9658,0,1,1
647,97,0,1,1
648,9711,1,0,1
649,9760,0,1,1
650,982,1,0,1
651,986,1,0,1
652,99,1,0,1
653,9951,1,0,1
654,9963,0,1,1
655,9966,1,0,1
656,9976,1,0,1
657,9981,1,1,2
658,9983,0,1,1
659,9985,1,2,3
660,A009,0,3,3
661,A010,3,1,4
662,A014,1,0,1
663,A020,34,32,66
664,A021,7,1,8
665,A022,1,2,3
666,A028,1,0,1
667,A029,4,7,11
668,A031,1,0,1
669,A033,1,1,2
670,A034,2,1,3
671,A038,1,0,1
672,A039,4,4,8
673,A040,1,0,1
674,A041,1,0,1
675,A043,1,0,1
676,A044,6,20,26
677,A045,225,153,378
678,A047,316,328,644
679,A048,497,725,1222
680,A049,9,17,26
681,A054,0,2,2
682,A058,0,4,4
683,A059,8,6,14
684,A060,2,2,4
685,A061,1,2,3
686,A064,3,2,5
687,A069,2,0,2
688,A071,25,11,36
689,A072,5,5,10
690,A078,0,2,2
691,A079,1,0,1
