lam,alpha,accuracy,error
0.21000000000000002,0.2,0.7708532509835442,0.19205729166666666
0.21000000000000002,0.30000000000000004,0.7715047167815898,0.19205729166666666
0.21000000000000002,0.4,0.772807648377681,0.19205729166666666
0.21000000000000002,0.5,0.772805533228986,0.19205729166666666
0.21000000000000002,0.6000000000000001,0.7721540674309404,0.19205729166666666
0.21000000000000002,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.21000000000000002,0.8,0.7721540674309404,0.19205729166666666
0.21000000000000002,0.9,0.7721540674309404,0.19270833333333334
0.22,0.0,0.7715047167815898,0.19140625
0.22,0.1,0.7708532509835442,0.19140625
0.22,0.2,0.7708532509835442,0.19205729166666666
0.22,0.30000000000000004,0.7715047167815898,0.19205729166666666
0.22,0.4,0.7721561825796354,0.19205729166666666
0.22,0.5,0.772805533228986,0.19205729166666666
0.22,0.6000000000000001,0.772805533228986,0.19205729166666666
0.22,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.22,0.8,0.7721540674309404,0.19205729166666666
0.22,0.9,0.7721540674309404,0.19270833333333334
0.23,0.0,0.7715047167815898,0.19140625
0.23,0.1,0.7708532509835442,0.19140625
0.23,0.2,0.7708532509835442,0.19205729166666666
0.23,0.30000000000000004,0.7708532509835442,0.19205729166666666
0.23,0.4,0.7721561825796354,0.19205729166666666
0.23,0.5,0.772805533228986,0.19205729166666666
0.23,0.6000000000000001,0.772805533228986,0.19205729166666666
0.23,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.23,0.8,0.7721540674309404,0.19205729166666666
0.23,0.9,0.7721540674309404,0.19205729166666666
0.24000000000000002,0.0,0.7715047167815898,0.19140625
0.24000000000000002,0.1,0.7708532509835442,0.19140625
0.24000000000000002,0.2,0.7708532509835442,0.19205729166666666
0.24000000000000002,0.30000000000000004,0.7708532509835442,0.19205729166666666
0.24000000000000002,0.4,0.7721561825796354,0.19205729166666666
0.24000000000000002,0.5,0.7734569990270316,0.19205729166666666
0.24000000000000002,0.6000000000000001,0.772805533228986,0.19205729166666666
0.24000000000000002,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.24000000000000002,0.8,0.7721540674309404,0.19205729166666666
0.24000000000000002,0.9,0.7721540674309404,0.19205729166666666
0.25,0.0,0.7715047167815898,0.19140625
0.25,0.1,0.7708532509835442,0.19140625
0.25,0.2,0.7708532509835442,0.19205729166666666
0.25,0.30000000000000004,0.7708532509835442,0.19205729166666666
0.25,0.4,0.7715047167815898,0.19205729166666666
0.25,0.5,0.7734569990270316,0.19205729166666666
0.25,0.6000000000000001,0.772805533228986,0.19205729166666666
0.25,0.7000000000000001,0.7721540674309404,0.19205729166666666
0.25,0.8,0.7721540674309404,0.19205729166666666
0.25,0.9,0.7721540674309404,0.19205729166666666
0.26,0.0,0.7715047167815898,0.19140625
0.26,0.1,0.7708532509835442,0.19140625
0.26,0.2,0.7708532509835442,0.19205729166666666
0.26,0.30000000000000004,0.7708532509835442,0.19205729166666666
0.26,0.4,0.7715047167815898,0.19205729166666666
0.26,0.5,0.7734569990270316,0.19205729166666666
0.26,0.6000000000000001,0.772805533228986,0.19205729166666666
0.26,0.7000000000000001,0.772805533228986,0.19205729166666666
0.26,0.8,0.7721540674309404,0.19205729166666666
0.26,0.9,0.7721540674309404,0.19205729166666666
0.27,0.0,0.7715047167815898,0.19140625
0.27,0.1,0.7708532509835442,0.19140625
0.27,0.2,0.7708532509835442,0.19205729166666666
0.27,0.30000000000000004,0.7708532509835442,0.19205729166666666
0.27,0.4,0.7715047167815898,0.19205729166666666
0.27,0.5,0.7721561825796354,0.19205729166666666
0.27,0.6000000000000001,0.772805533228986,0.19205729166666666
0.27,0.7000000000000001,0.772805533228986,0.19205729166666666
0.27,0.8,0.7721540674309404,0.19205729166666666
0.27,0.9,0.7721540674309404,0.19205729166666666
0.28,0.0,0.7715047167815898,0.19140625
0.28,0.1,0.7708532509835442,0.19140625
0.28,0.2,0.7708532509835442,0.19205729166666666
0.28,0.30000000000000004,0.7708532509835442,0.19205729166666666
0.28,0.4,0.7715047167815898,0.19205729166666666
0.28,0.5,0.7721561825796354,0.19205729166666666
0.28,0.6000000000000001,0.772805533228986,0.19205729166666666
0.28,0.7000000000000001,0.772805533228986,0.19205729166666666
0.28,0.8,0.7721540674309404,0.19205729166666666
0.28,0.9,0.7721540674309404,0.19205729166666666
0.29000000000000004,0.0,0.7715047167815898,0.19140625
0.29000000000000004,0.1,0.7708532509835442,0.19140625
0.29000000000000004,0.2,0.7708532509835442,0.19205729166666666
0.29000000000000004,0.30000000000000004,0.7708532509835442,0.19205729166666666
0.29000000000000004,0.4,0.7715047167815898,0.19205729166666666
0.29000000000000004,0.5,0.7721561825796354,0.19205729166666666
0.29000000000000004,0.6000000000000001,0.7734569990270316,0.19205729166666666
0.29000000000000004,0.7000000000000001,0.772805533228986,0.19205729166666666
0.29000000000000004,0.8,0.7721540674309404,0.19205729166666666
0.29000000000000004,0.9,0.7721540674309404,0.19205729166666666
